mode;place;kevin;jannes
Q;1;VER;VER
Q;2;HAM;HAM
Q;3;BOT;LEC
R;1;VER;VER
R;2;HAM;HAM
R;3;BOT;BOT
R;4;PER;PER
R;5;NOR;NOR
