mode;place;driver
Q;1;HAM
Q;2;BOT
Q;3;VER
R;1;OCO
R;2;HAM
R;3;SAI
R;4;ALO
R;9;VER
R;-1;VET
R;-1;NOR
R;-1;BOT
R;-1;PER
