mode;place;kevin;jannes
Q;1;VER;BOT
Q;2;BOT;VER
Q;3;HAM;HAM
R;1;VER;VER
R;2;HAM;HAM
R;3;PER;BOT
R;4;BOT;PER
R;5;NOR;SAI
